Player,Team,Season,Age,Age_Bin,Has_Prior_Data,K%_alpha,K%_beta,K%_mean,K%_std,BB%_alpha,BB%_beta,BB%_mean,BB%_std,ISO_mu,ISO_tau,ISO_mean,ISO_std,BABIP_mu,BABIP_tau,BABIP_mean,BABIP_std,K%_p25,K%_p75,K%_p10,K%_p90,K%_p5,K%_p95,BB%_p25,BB%_p75,BB%_p10,BB%_p90,BB%_p5,BB%_p95,ISO_p25,ISO_p75,ISO_p10,ISO_p90,ISO_p5,ISO_p95,BABIP_p25,BABIP_p75,BABIP_p10,BABIP_p90,BABIP_p5,BABIP_p95
Cameron Nickens,APSU,2025,21.0,21,True,69.43297177221463,229.3670282277854,0.23237273016136087,0.02439225566075978,22.9806346858109,209.41936531418906,0.09888397024875605,0.019539024589392398,0.1481595542549344,16453.6312378468,0.1481595542549344,0.007795951348817893,0.32982026638933837,9622.133290213433,0.32982026638933837,0.010194462100994523,0.21557649704359455,0.2485188471701289,0.20148786837755306,0.26402835117151374,0.19328701134853624,0.27349833194192935,0.08511922545192947,0.11139896405591951,0.07466670425812458,0.12458769551306781,0.0688176078048519,0.13287757633604674,0.1429012649771294,0.1534178435327394,0.1381686405989473,0.15815046791092152,0.13533635540329408,0.16098275310657473,0.32294420619345515,0.3366963265852216,0.3167555375239237,0.342884995254753,0.3130518684276982,0.3465886643509785
John Bay,APSU,2025,24.0,23+,True,86.59997862097241,279.7000213790276,0.2364181780534327,0.02216959499829862,34.61869723505811,250.2813027649419,0.12151174880680277,0.019322799023824902,0.26781028059310685,20170.566005432676,0.26781028059310685,0.007041107216196744,0.32910462402604873,11795.80797926767,0.32910462402604873,0.009207381813053627,0.22118931230144598,0.2511246143217214,0.2083076037437673,0.26514744307164073,0.2007827043006162,0.2736920467030646,0.10801298238338118,0.13404737494486255,0.0973603880939758,0.14680626127070112,0.09130364304009422,0.15474349028914455,0.2630611259457505,0.2725594352404632,0.2587867386170225,0.2768338225691912,0.25622868985079145,0.27939187133542226,0.32289433936700224,0.3353149086850952,0.31730488944896296,0.3409043586031345,0.31395982865612043,0.34424941939597703
Logen Devenport,NKU,2025,21.036192584394023,22,True,36.383091671956855,140.91690832804315,0.2052063828085553,0.030244537407260148,14.023135214679744,123.87686478532024,0.10169061069383427,0.02564497466627535,0.17022449279507595,9763.148656192228,0.17022449279507595,0.010120571769075102,0.32966443580401156,5709.518849915801,0.32966443580401156,0.013234277732617658,0.1841758694969577,0.22503141494557438,0.16715999234006257,0.24468807728914224,0.1574048159835014,0.25679791765902105,0.08343098412778199,0.1178638819910447,0.0702411212052338,0.13563704335866036,0.06302650022662107,0.14692980885211052,0.16339827087071096,0.17705071471944095,0.15725445820021128,0.18319452738994063,0.1535776336138901,0.1868713519762618,0.32073805112211273,0.3385908204859104,0.31270402645692336,0.34662484515109976,0.3078959860754323,0.35143288553259083
Cardell Thibodeaux,SOU,2025,21.0,21,True,48.99857563681167,176.9014243631883,0.21690383194693083,0.02736049269928755,21.56341976064105,154.13658023935895,0.12272862698145164,0.02468434694614972,0.1539272800437222,12439.341688854058,0.1539272800437222,0.008966052991490687,0.3254219631156056,7274.564626034854,0.3254219631156056,0.011724558469842179,0.19797117927390986,0.23492733638120375,0.18237127447185328,0.25251640982867546,0.17335801670583864,0.2633049505228037,0.10533388478346686,0.13856899535673622,0.09210239933811555,0.15520784364074544,0.08470016983448353,0.16564673995116272,0.14787976920124682,0.15997479088619757,0.14243682079572145,0.16541773929172293,0.13917943526122964,0.16867512482621475,0.3175138686021224,0.33333005762908885,0.3103963368532602,0.34044758937795105,0.3061367805920811,0.34470714563913013
Drew Wyers,BRY,2025,22.0,22,True,58.60421708198138,277.0957829180186,0.17457318165618524,0.020687427682059722,32.27544154650369,228.82455845349628,0.12361333414976522,0.02033045181880117,0.16082499781760148,18485.55557746041,0.16082499781760148,0.007355018105660047,0.3173574444151129,10810.408786896414,0.3173574444151129,0.009617870863400045,0.16026387056704927,0.1881790015536675,0.1484859373106637,0.2014941263691334,0.14167704562429573,0.20967626093631817,0.1093950871262991,0.13678667226415073,0.09822346340708087,0.1502441685587448,0.09188388314087603,0.15862405431867144,0.1558641134928272,0.16578588214237577,0.15139916284968397,0.170250832785519,0.14872706961021281,0.17292292602499015,0.31087028909904,0.32384459973118573,0.30503164695291674,0.329683241877309,0.3015374546418984,0.33317743418832735
Konni Durschlag,HPU,2025,21.036192584394023,22,True,38.692181584076216,226.8078184159238,0.14573326397015524,0.021613618782110218,27.339945344856595,179.1600546551434,0.1323968297571748,0.023528286920925012,0.14727134971255743,14619.943419171104,0.14727134971255743,0.008270412173402814,0.3340177785980259,8549.787110280007,0.3340177785980259,0.010814896051672141,0.13067689305933897,0.15982202015391028,0.11863616195758013,0.17397905952702472,0.11175567442173885,0.18274881964944742,0.11589982226790235,0.14760410876786087,0.10306473455861594,0.16326352139659026,0.09581457464297871,0.17303267583216453,0.14169304147170034,0.15284965795341451,0.13667239004403392,0.15787030938108093,0.1336677322527522,0.16087496717236266,0.326723242061737,0.3413123151343148,0.32015793163180334,0.34787762556424845,0.3162288576023298,0.35180669959372196
Aidan Redahan,CCSU,2025,21.036192584394023,22,True,34.38395735862836,299.51604264137166,0.10297681149634129,0.01660787171127317,23.789884926029682,235.9101150739703,0.09160525577986016,0.017865985890370875,0.1269469195311042,18386.437316991454,0.1269469195311042,0.007374816305958637,0.32568487532098184,10752.444128521634,0.32568487532098184,0.009643760199233634,0.09136448067048052,0.11372710623220378,0.08224747922057642,0.12472851224458807,0.07707249298798716,0.13158640384066295,0.07902404270566953,0.10304764900367189,0.06946149062332162,0.11510248994199314,0.0641067558255197,0.12268112183320128,0.12197268152315617,0.13192115753905223,0.11749571214859907,0.13639812691360934,0.11481642618214728,0.13907741288006112,0.31918025791324983,0.33218949272871384,0.3133258993399173,0.3380438513020464,0.30982230137982214,0.34154744926214153
Kaleb Freeman,GAST,2025,22.0,22,True,6.429210016654633,20.570789983345367,0.23811888950572713,0.08049362973159661,2.2299099209388396,18.77009007906116,0.10618618671137331,0.0656819749948986,0.166425142139965,1486.7739070343496,0.166425142139965,0.025934479409851916,0.32257204702212233,3622.7911484237316,0.32257204702212233,0.016614158564188495,0.17967036127270444,0.2896249799481034,0.13897032949182753,0.3460083106214877,0.1175147153347958,0.3811258382754122,0.05676110880718833,0.14259076074445712,0.03319482327143033,0.19614916236335825,0.023025673357171088,0.2320448373525153,0.14893260160134858,0.18391768267858144,0.13318876945068508,0.19966151482924493,0.12376671961957181,0.2090835646603582,0.31136596736244476,0.3337781266817999,0.30128014610398035,0.3438639479402643,0.29524418804907004,0.3498999059951746
Kyle Fossum,YSU,2025,22.0,22,True,15.543646417184,41.15635358281601,0.27413838478278657,0.05872512280133974,3.5634699213524805,40.536530078647516,0.08080430660663222,0.04058195579505705,0.13543923385771064,3122.2252047721336,0.13543923385771064,0.01789649104021223,0.31607807774114227,3622.7911484237316,0.31607807774114227,0.016614158564188495,0.2327808827554618,0.31261833302371134,0.2003912509874425,0.35138295360053207,0.1822072971136121,0.3752033812074975,0.050788273291975314,0.10409110555862323,0.03426567596354305,0.13569899209153277,0.02640596694812987,0.1567761212290287,0.12336823408661149,0.1475102336288098,0.11250395774737175,0.15837450996804953,0.10600212566051304,0.16487634205490825,0.3048719980814647,0.32728415740081984,0.2947861768230003,0.33736997865928425,0.28875021876809,0.34340593671419456
Javier Gorostola,FGCU,2025,21.036192584394023,22,True,36.31821023769931,158.98178976230068,0.185961137929848,0.027769848918643023,14.153628804497792,137.74637119550218,0.09317727981894532,0.02350782599946189,0.13547075866104105,10754.331260881794,0.13547075866104105,0.009642914035490367,0.32818796732790334,6289.1654336635975,0.32818796732790334,0.01260966330848905,0.16663259215752094,0.20412384154552307,0.15107558567054027,0.22223370055101033,0.14217170459726663,0.23341457127584656,0.07643833494491759,0.10798154258013072,0.064372770120221,0.12429478310355169,0.05777604181587784,0.13467264137374518,0.12896671198208087,0.14197480534000123,0.12311286708244637,0.14782865023963573,0.11960957653538347,0.15133194078669865,0.31968287867290385,0.33669305598290283,0.3120280335739189,0.3443479010818878,0.30744691690029824,0.34892901775550844
